source_id,title,cluster,category,paper_type,local_pdf,source_url,note
8,Circadian rhythm disruption and mental health,Biological & Lifestyle,Sleep Hygiene,Clinical Practice Guideline,apps/mindful-rag/data/raw/research_papers/Circadian rhythm disruption and mental health.pdf,,
31,Nutritional medicine as mainstream in psychiatry: Consensus position statement,Biological & Lifestyle,Dietary habits,Clinical Practice Guideline,apps/mindful-rag/data/raw/research_papers/Nutritional medicine as mainstream in psychiatry- Consensus position statement.pdf,https://www.universiteitleiden.nl/binaries/content/assets/sociale-wetenschappen/psychologie/studenten/werving/proefcollege-isnpr-lancet-psychiatry.pdf,
3,EPA guidance on physical activity as a treatment for severe mental illness,Biological & Lifestyle,Physical Activity,Clinical Practice Guideline,apps/mindful-rag/data/raw/research_papers/EPA guidance on physical activity as a treatment for severe mental illness.pdf,https://pubmed.ncbi.nlm.nih.gov/30257806/,
23,Exercise as medicine for depressive symptoms? A systematic review and meta-analysis,Biological & Lifestyle,Physical Activity,Meta-Analysis,apps/mindful-rag/data/raw/research_papers/Exercise as medicine for depressive symptoms? A systematic review and meta-analysis.pdf,,
24,"The Effect of Lifestyle Interventions on Anxiety, Depression and Stress: A Systematic Review and Meta-Analysis of Randomized Clinical Trials",Biological & Lifestyle,Sleep Hygiene,Meta-Analysis,"apps/mindful-rag/data/raw/research_papers/The Effect of Lifestyle Interventions on Anxiety, Depression and Stress- A Systematic Review and Meta-Analysis of Randomized Clinical Trials.pdf",,
25,Improving sleep quality leads to better mental health: A meta-analysis of randomised controlled trials,Biological & Lifestyle,Sleep Hygiene,Meta-Analysis,apps/mindful-rag/data/raw/research_papers/Improving sleep quality leads to better mental health- A meta-analysis of randomised controlled trials.pdf,,
30,The Effects of Dietary Improvement on Symptoms of Depression and Anxiety: A Meta-Analysis of Randomized Controlled Trials,Biological & Lifestyle,Dietary habits,Meta-Analysis,apps/mindful-rag/data/raw/research_papers/The Effects of Dietary Improvement on Symptoms of Depression and Anxiety- A Meta-Analysis of Randomized Controlled Trials.pdf,,
8,Healthy dietary indices and risk of depressive outcomes: a systematic review and meta-analysis,Biological & Lifestyle,Dietary habits,Meta-Analysis,apps/mindful-rag/data/raw/research_papers/Healthy dietary indices and risk of depressive outcomes- a systematic review and meta-analysis.pdf,,
9,The Effect of Mindfulness-based Programs on Cognitive Function in Adults,Biological & Lifestyle,Physical Activity,Meta-Analysis,apps/mindful-rag/data/raw/research_papers/The Effect of Mindfulness-based Programs on Cognitive Function in Adults.pdf,https://pubmed.ncbi.nlm.nih.gov/34350544/,
11,A modified Mediterranean dietary intervention for adults with major depression: Dietary protocol and feasibility data from the SMILES trial,Biological & Lifestyle,Dietary habits,Protocol,apps/mindful-rag/data/raw/research_papers/A modified Mediterranean dietary intervention for adults with major depression- Dietary protocol and feasibility data from the SMILES trial.pdf,,
26,"Sleep physiology, pathophysiology, and sleep hygiene",Biological & Lifestyle,Sleep Hygiene,Protocol,"apps/mindful-rag/data/raw/research_papers/Sleep physiology, pathophysiology, and sleep hygiene.pdf",,
12,Feed your microbes to deal with stress: a psychobiotic diet impacts microbial stability and perceived stress in a healthy adult population,Biological & Lifestyle,Dietary habits,Protocol,apps/mindful-rag/data/raw/research_papers/Feed your microbes to deal with stress- a psychobiotic diet impacts microbial stability and perceived stress in a healthy adult population.pdf,,
13,Sleep Restriction Therapy,Biological & Lifestyle,Sleep Hygiene,Protocol,apps/mindful-rag/data/raw/research_papers/Sleep Restriction Therapy.pdf,https://www.med.upenn.edu/cbti/assets/user-content/documents/btsd--advancedsleeprestriction-spielman.pdf,
14,HIIT as a Tool for Improving Mental Health and Cognition,Biological & Lifestyle,Physical Activity,Protocol,apps/mindful-rag/data/raw/research_papers/HIIT as a Tool for Improving Mental Health and Cognition.pdf,https://www.researchgate.net/publication/354287956_HIIT_as_a_Tool_for_Improving_Mental_Health_and_Cognition,
15,Treatment of Major Depressive Disorder with Iyengar Yoga and Coherent Breathing,Biological & Lifestyle,Physical Activity,Protocol,apps/mindful-rag/data/raw/research_papers/Treatment of Major Depressive Disorder with Iyengar Yoga and Coherent Breathing.pdf,https://pubmed.ncbi.nlm.nih.gov/28296480/,
7,Sustained attention in adult ADHD: time-on-task effects of various measures of attention,Cognitive & Psychological,Biofeedback,Clinical Practice Guideline,apps/mindful-rag/data/raw/research_papers/Sustained attention in adult ADHD- time-on-task effects of various measures of attention.pdf,,
10,"Behavioural activation: history, evidence and promise",Cognitive & Psychological,Cognitive Behavioral Therapy,Clinical Practice Guideline,"apps/mindful-rag/data/raw/research_papers/Behavioural activation- history, evidence and promise.pdf",,
18,"Human Attention Restoration, Flow, and Creativity: A Conceptual Integration",Cognitive & Psychological,Mindfulness/Meditation,Clinical Practice Guideline,"apps/mindful-rag/data/raw/research_papers/Human Attention Restoration, Flow, and Creativity A Conceptual Integration.pdf",,
19,Effortless training of attention and self-control: Mechanisms and applications,Cognitive & Psychological,Mindfulness/Meditation,Clinical Practice Guideline,apps/mindful-rag/data/raw/research_papers/Effortless training of attention and self-control- Mechanisms and applications.pdf,,
9,Behavioral activation for children and adolescents: a systematic review of progress and promise,Cognitive & Psychological,Cognitive Behavioral Therapy,Meta-Analysis,apps/mindful-rag/data/raw/research_papers/Behavioral activation for children and adolescents a systematic review of progress and promise.pdf,,
21,Heart Rate Variability Biofeedback Improves Emotional and Physical Health and Performance: A Systematic Review and Meta Analysis,Cognitive & Psychological,Biofeedback,Meta-Analysis,apps/mindful-rag/data/raw/research_papers/Heart Rate Variability Biofeedback Improves Emotional and Physical Health and Performance- A Systematic Review and Meta Analysis.pdf,https://pubmed.ncbi.nlm.nih.gov/32385728/,
22,Efficacy of bio- and neurofeedback for depression: a meta-analysis,Cognitive & Psychological,Biofeedback,Meta-Analysis,apps/mindful-rag/data/raw/research_papers/Efficacy of bio- and neurofeedback for depression- a meta-analysis.pdf,https://pubmed.ncbi.nlm.nih.gov/34776024/,
23,The Efficacy of Cognitive Behavioral Therapy: A Review of Meta-analyses,Cognitive & Psychological,Cognitive Behavioral Therapy,Meta-Analysis,apps/mindful-rag/data/raw/research_papers/The Efficacy of Cognitive Behavioral Therapy- A Review of Meta-analyses.pdf,https://pubmed.ncbi.nlm.nih.gov/34776024/,
24,Meditation Programs for Psychological Stress and Well-Being: A Systematic Review and Meta-analysis,Cognitive & Psychological,Mindfulness/Meditation,Meta-Analysis,apps/mindful-rag/data/raw/research_papers/Meditation Programs for Psychological Stress and Well-Being- A Systematic Review and Meta-analysis.pdf,https://pubmed.ncbi.nlm.nih.gov/24395196/,
25,Mindfulness Enhances Cognitive Functioning: A Meta-Analysis of 111 Randomized Controlled Trials,Cognitive & Psychological,Mindfulness/Meditation,Meta-Analysis,apps/mindful-rag/data/raw/research_papers/Mindfulness Enhances Cognitive Functioning A Meta-Analysis of 111 Randomized Controlled Trials.pdf,https://pubmed.ncbi.nlm.nih.gov/37578065/,
17,The protective effect of daytime sleep on planning and risk-related decision-making in emerging adults,Cognitive & Psychological,Mindfulness/Meditation,Protocol,apps/mindful-rag/data/raw/research_papers/The protective effect of daytime sleep on planning and risk-related decision-making in emerging adults.pdf,,
20,"Mindfulness-Based Relapse Prevention: History, Mechanisms of Action, and Effects",Cognitive & Psychological,Mindfulness/Meditation,Protocol,"apps/mindful-rag/data/raw/research_papers/Mindfulness-Based Relapse Prevention- History, Mechanisms of Action, and Effects.pdf",,
21,Loving-kindness meditation increases social connectedness,Cognitive & Psychological,Mindfulness/Meditation,Protocol,apps/mindful-rag/data/raw/research_papers/Loving-kindness meditation increases social connectedness.pdf,,
27,A Therapist's Guide to Brief Cognitive Behavioral Therapy,Cognitive & Psychological,Cognitive Behavioral Therapy,Protocol,apps/mindful-rag/data/raw/research_papers/A T H E R A P I S T ’ S G U I D E T O BRIEF COGNITIVE BEHAVIORAL THERAPY.pdf,,
30,Protocol for Heart Rate Variability Biofeedback Training,Cognitive & Psychological,Biofeedback,Protocol,apps/mindful-rag/data/raw/research_papers/HRV Biofeedback Protocol Guide.pdf,https://www.researchgate.net/publication/289937389_Protocol_for_Heart_Rate_Variability_Biofeedback_Training,
31,HRV Biofeedback Protocol Guide (Scribd/Clinical),Cognitive & Psychological,Biofeedback,Protocol,apps/mindful-rag/data/raw/research_papers/HRV Biofeedback Protocol Guide.pdf,https://www.scribd.com/document/498599032/Protocol-for-Heart-Rate-Variability-Biofeedback-Training,
32,Problem-Solving Therapy (PST) - Patient Manual (VA / SPRC),Cognitive & Psychological,Cognitive Behavioral Therapy,Protocol,apps/mindful-rag/data/raw/research_papers/Problem-Solving Therapy (PST) - Patient Manual (VA : SPRC).pdf,https://sprc.org/wp-content/uploads/2022/12/Problem-Solving-Therapy.pdf,
1,"The Role of Academic Motivation in Self-Regulation, Goal Orientation, and Passion Among Medical Students with Self-Handicapping Behaviors",Environmental & Social,Academic/Work Stress,Clinical Practice Guideline,"apps/mindful-rag/data/raw/research_papers/The Role of Academic Motivation in Self-Regulation, Goal Orientation, and Passion Among Medical Students with Self-Handicapping Behaviors.pdf",,
2,Fostering flow experiences at work: a framework and research agenda for flow interventions,Environmental & Social,Academic/Work Stress,Clinical Practice Guideline,apps/mindful-rag/data/raw/research_papers/Fostering flow experiences at work a framework and research agenda for flow interventions.pdf,,
35,Public Health Guidelines for Social Connection: An International Delphi Study,Environmental & Social,Loneliness,Clinical Practice Guideline,apps/mindful-rag/data/raw/research_papers/Public Health Guidelines for Social Connection- An International Delphi Study.pdf,https://www.sciencedirect.com/science/article/abs/pii/S0168851025002076,
36,Prosocial Behavior: Multilevel Perspectives,Environmental & Social,Kindness/Prosocial Behavior,Clinical Practice Guideline,apps/mindful-rag/data/raw/research_papers/Prosocial Behavior- Multilevel Perspectives.pdf,https://pubmed.ncbi.nlm.nih.gov/15709940/,
3,Strengths and challenges to embrace attention-deficit/hyperactivity disorder in employment - A systematic review,Environmental & Social,Academic/Work Stress,Meta-Analysis,apps/mindful-rag/data/raw/research_papers/Strengths and challenges to embrace attention-deficit:hyperactivity disorder in employment - A systematic review.pdf,,
16,Effectiveness of Mobile App-Based Psychological Interventions for College Students: A Systematic Review of the Literature,Environmental & Social,Academic/Work Stress,Meta-Analysis,apps/mindful-rag/data/raw/research_papers/Effectiveness of Mobile App-Based Psychological Interventions for College Students A Systematic Review of the Literature.pdf,,
28,Happy to help? A systematic review and meta-analysis of the effects of performing acts of kindness on the well-being of the actor,Environmental & Social,Kindness/Prosocial Behavior,Meta-Analysis,apps/mindful-rag/data/raw/research_papers/Happy to help? A systematic review and meta-analysis of the effects of performing acts of kindness on the well-being of the actor.pdf,https://www.sciencedirect.com/science/article/pii/S0022103117303451,
29,Prosocial Interventions and Health Outcomes A Systematic Review and Meta-Analysis,Environmental & Social,Kindness/Prosocial Behavior,Meta-Analysis,apps/mindful-rag/data/raw/research_papers/Prosocial Interventions and Health Outcomes A Systematic Review and Meta-Analysis.pdf,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2812720,
41,The effectiveness of psychological interventions for loneliness: A systematic review and meta-analysis,Environmental & Social,Loneliness,Meta-Analysis,apps/mindful-rag/data/raw/research_papers/The effectiveness of psychological interventions for loneliness- A systematic review and meta-analysis.pdf,https://pubmed.ncbi.nlm.nih.gov/34339939/,
42,A meta-analysis of interventions to reduce loneliness,Environmental & Social,Loneliness,Meta-Analysis,apps/mindful-rag/data/raw/research_papers/A meta-analysis of interventions to reduce loneliness.pdf,https://pubmed.ncbi.nlm.nih.gov/20716644/,
4,"The associations between resilience, self-care, and burnout among medical students",Environmental & Social,Academic/Work Stress,Protocol,"apps/mindful-rag/data/raw/research_papers/The associations between resilience, self-care, and burnout among medical students.pdf",,
5,Adult ADHD-Related Poor Quality of Life: Investigating the Role of Procrastination,Environmental & Social,Academic/Work Stress,Protocol,apps/mindful-rag/data/raw/research_papers/Adult ADHD-Related Poor Quality of Life- Investigating the Role of Procrastination.pdf,,
6,Strategies for Coping with Time-Related and Productivity Challenges of Young People with Learning Disabilities and Attention-Deficit/Hyperactivity Disorder,Environmental & Social,Academic/Work Stress,Protocol,apps/mindful-rag/data/raw/research_papers/Strategies for Coping with Time-Related and Productivity Challenges of Young People with Learning Disabilities and Attention-Deficit:Hyperactivity Disorder.pdf,,
15,Peer support groups through an experiential lens,Environmental & Social,Loneliness,Protocol,apps/mindful-rag/data/raw/research_papers/Peer support groups through an experiential lens.pdf,,
32,Practicing Other-Focused Kindness and Self-Focused Kindness Among Those at Risk for Mental Illness: Results of a Randomized Controlled Trial,Environmental & Social,Kindness/Prosocial Behavior,Protocol,apps/mindful-rag/data/raw/research_papers/Practicing Other-Focused Kindness and Self-Focused Kindness Among Those at Risk for Mental Illness- Results of a Randomized Controlled Trial.pdf,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2021.741546/full,
33,Pursuing Happiness: The Architecture of Sustainable Change,Environmental & Social,Kindness/Prosocial Behavior,Protocol,apps/mindful-rag/data/raw/research_papers/Pursuing_Happiness-_The_Architecture_of_Sustainable_Change.pdf,https://greatergood.berkeley.edu/images/uploads/Pursuing_Happiness-_The_Architecture_of_Sustainable_Change.pdf,
34,To whom should I be kind? A randomized trial about kindness for strong and weak social ties on mental wellbeing and its specific mechanisms of change,Environmental & Social,Kindness/Prosocial Behavior,Protocol,apps/mindful-rag/data/raw/research_papers/To whom should I be kind? A randomized trial about kindness for strong and weak social ties on mental wellbeing and its specific mechanisms of change.pdf,https://internationaljournalofwellbeing.org/index.php/ijow/article/view/1489,
50,Internet-Based Cognitive Behavior Therapy for Loneliness: A Pilot Randomized Controlled Trial,Environmental & Social,Loneliness,Protocol,apps/mindful-rag/data/raw/research_papers/Internet-Based Cognitive Behavior Therapy for Loneliness- A Pilot Randomized Controlled Trial.pdf,https://pubmed.ncbi.nlm.nih.gov/32005340/,
51,Groups 4 Health: Evidence that a social-identity intervention that builds and strengthens social group membership improves mental health,Environmental & Social,Loneliness,Protocol,apps/mindful-rag/data/raw/research_papers/Groups 4 Health- Evidence that a social-identity intervention that builds and strengthens social group membership improves mental health.pdf,https://pubmed.ncbi.nlm.nih.gov/26828756/,
22,Intrinsic and extrinsic motivation from a self-determination theory perspective,Meta-Strategy,Motivation,Clinical Practice Guideline,apps/mindful-rag/data/raw/research_papers/Intrinsic and extrinsic motivation from a self-determination theory perspective.pdf,,
53,Persuasive Systems Design,Meta-Strategy,Gamification,Clinical Practice Guideline,"apps/mindful-rag/data/raw/research_papers/Persuasive Systems Design- Key Issues, Process Model, and System Features.pdf",https://www.taylorfrancis.com/chapters/edit/10.4324/9781351252928-6/persuasive-systems-design-harri-oinas-kukkonen-marja-harjumaa,
12,Time to Form a Habit: A Systematic Review and Meta-Analysis of Health Behaviour Habit Formation and Its Determinants,Meta-Strategy,Gamification,Meta-Analysis,apps/mindful-rag/data/raw/research_papers/Time to Form a Habit A Systematic Review and Meta-Analysis of Health Behaviour Habit Formation and Its Determinants.pdf,,
55,Implementation Intentions and Goal Achievement: A Meta‐analysis of Effects and Processes,Meta-Strategy,Motivation,Meta-Analysis,apps/mindful-rag/data/raw/research_papers/Implementation Intentions and Goal Achievement A Meta‐analysis of Effects and Processes.pdf,https://www.sciencedirect.com/science/chapter/bookseries/abs/pii/S0065260106380021,
56,"A meta-analysis of self-determination theory-informed intervention studies in the health domain: effects on motivation, health behavior, physical, and psychological health",Meta-Strategy,Motivation,Meta-Analysis,"apps/mindful-rag/data/raw/research_papers/A meta-analysis of self-determination theory-informed intervention studies in the health domain- effects on motivation, health behavior, physical, and psychological health.pdf",https://pubmed.ncbi.nlm.nih.gov/31983293/,
57,Gamification for health and wellbeing: A systematic review of the literature,Meta-Strategy,Gamification,Meta-Analysis,apps/mindful-rag/data/raw/research_papers/Gamification for health and wellbeing- A systematic review of the literature.pdf,https://www.sciencedirect.com/science/article/pii/S2214782916300380,
13,Implementation Intentions,Meta-Strategy,Gamification,Protocol,vectordb/research_papers/Implementation Intentions.pdf,,
59,From Fantasy to Action: Mental Contrasting with Implementation Intentions (MCII) Improves Academic Performance in Children,Meta-Strategy,Motivation,Protocol,apps/mindful-rag/data/raw/research_papers/From Fantasy to Action- Mental Contrasting with Implementation Intentions (MCII) Improves Academic Performance in Children.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC4106484/,
60,"Self-determination theory and the facilitation of intrinsic motivation, social development, and well-being",Meta-Strategy,Motivation,Protocol,,https://pubmed.ncbi.nlm.nih.gov/11392867/,URL-only or metadata-only entry; no local PDF was present in the recovered corpus.
61,Gamification as an approach to improve resilience and reduce attrition in mobile mental health interventions: A randomized controlled trial,Meta-Strategy,Gamification,Protocol,apps/mindful-rag/data/raw/research_papers/Gamification as an approach to improve resilience and reduce attrition in mobile mental health interventions- A randomized controlled trial.pdf,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0237220,
