ID,Cluster,Category (The Folder),Paper Title,Paper Type,Main Mechanism (Tags),Filename/Link,Matched PDF,Match Score,Match Method
8.0,Biological & Lifestyle,Sleep Hygiene,Circadian rhythm disruption and mental health,Clinical Practice Guideline,"Circadian Clock, Light Exposure, Mood",file:///Users/sanskriti/Downloads/Circadianrhythmdisruptionandmentalhealth.pdf ,Circadian rhythm disruption and mental health.pdf,100,exact_normalized
31.0,Biological & Lifestyle,Dietary habits,Nutritional medicine as mainstream in psychiatry: Consensus position statement,Clinical Practice Guideline,,https://www.universiteitleiden.nl/binaries/content/assets/sociale-wetenschappen/psychologie/studenten/werving/proefcollege-isnpr-lancet-psychiatry.pdf ,Nutritional medicine as mainstream in psychiatry- Consensus position statement.pdf,100,exact_normalized
,Biological & Lifestyle,Physical Activity,EPA guidance on physical activity as a treatment for severe mental illness,Clinical Practice Guideline,, https://pubmed.ncbi.nlm.nih.gov/30257806/,EPA guidance on physical activity as a treatment for severe mental illness.pdf,100,exact_normalized
23.0,Biological & Lifestyle,Physical Activity,Exercise as medicine for depressive symptoms? A systematic review and meta-analysis,Meta-Analysis,,,Exercise as medicine for depressive symptoms? A systematic review and meta-analysis.pdf,100,exact_normalized
24.0,Biological & Lifestyle,Sleep Hygiene,"The Effect of Lifestyle Interventions on Anxiety, Depression and Stress: A Systematic Review and Meta-Analysis of Randomized Clinical Trials",Meta-Analysis,"Circadian Rhythm, Stimulus Control",AASM_Insomnia.pdf,"The Effect of Lifestyle Interventions on Anxiety, Depression and Stress- A Systematic Review and Meta-Analysis of Randomized Clinical Trials.pdf",100,exact_normalized
25.0,Biological & Lifestyle,Sleep Hygiene,Improving sleep quality leads to better mental health: A meta-analysis of randomised controlled trials,Meta-Analysis,"High Evidence: Sleep Quality, Depression, Anxiety",Improving sleep quality...,Improving sleep quality leads to better mental health- A meta-analysis of randomised controlled trials.pdf,100,exact_normalized
30.0,Biological & Lifestyle,Dietary habits,The Effects of Dietary Improvement on Symptoms of Depression and Anxiety: A Meta-Analysis of Randomized Controlled Trials,Meta-Analysis,,,The Effects of Dietary Improvement on Symptoms of Depression and Anxiety- A Meta-Analysis of Randomized Controlled Trials.pdf,100,exact_normalized
,Biological & Lifestyle,Dietary habits,Healthy dietary indices and risk of depressive outcomes: a systematic review and meta-analysis,Meta-Analysis,,,Healthy dietary indices and risk of depressive outcomes- a systematic review and meta-analysis.pdf,100,exact_normalized
,Biological & Lifestyle,Physical Activity,The Effect of Mindfulness-based Programs on Cognitive Function in Adults,Meta-Analysis,,https://pubmed.ncbi.nlm.nih.gov/34350544/,The Effect of Mindfulness-based Programs on Cognitive Function in Adults.pdf,100,exact_normalized
11.0,Biological & Lifestyle,Dietary habits,A modified Mediterranean dietary intervention for adults with major depression: Dietary protocol and feasibility data from the SMILES trial,Protocol,,,A modified Mediterranean dietary intervention for adults with major depression- Dietary protocol and feasibility data from the SMILES trial.pdf,100,exact_normalized
26.0,Biological & Lifestyle,Sleep Hygiene,"Sleep physiology, pathophysiology, and sleep hygiene",Protocol,"Contains Actionable Info: Sleep Hygiene Rules, Physiology",Sleep physiology...,"Sleep physiology, pathophysiology, and sleep hygiene.pdf",100,exact_normalized
,Biological & Lifestyle,Dietary habits,Feed your microbes to deal with stress: a psychobiotic diet impacts microbial stability and perceived stress in a healthy adult population,Protocol,,,Feed your microbes to deal with stress- a psychobiotic diet impacts microbial stability and perceived stress in a healthy adult population.pdf,100,exact_normalized
,Biological & Lifestyle,Sleep Hygiene,Sleep Restriction Therapy,Protocol,,https://www.med.upenn.edu/cbti/assets/user-content/documents/btsd--advancedsleeprestriction-spielman.pdf,Sleep Restriction Therapy.pdf,100,exact_normalized
,Biological & Lifestyle,Physical Activity,HIIT as a Tool for Improving Mental Health and Cognition,Protocol,,https://www.researchgate.net/publication/354287956_HIIT_as_a_Tool_for_Improving_Mental_Health_and_Cognition,HIIT as a Tool for Improving Mental Health and Cognition.pdf,100,exact_normalized
,Biological & Lifestyle,Physical Activity,Treatment of Major Depressive Disorder with Iyengar Yoga and Coherent Breathing,Protocol,,https://pubmed.ncbi.nlm.nih.gov/28296480/,Treatment of Major Depressive Disorder with Iyengar Yoga and Coherent Breathing.pdf,100,exact_normalized
7.0,Cognitive & Psychological,Biofeedback,Sustained attention in adult ADHD: time-on-task effects of various measures of attention,Clinical Practice Guideline,"Autonomic Control, Vigilance Monitoring",,Sustained attention in adult ADHD- time-on-task effects of various measures of attention.pdf,100,exact_normalized
10.0,Cognitive & Psychological,Cognitive Behavioral Therapy,"Behavioural activation: history, evidence and promise",Clinical Practice Guideline,Behavioral Activation Theory,,"Behavioural activation- history, evidence and promise.pdf",100,exact_normalized
18.0,Cognitive & Psychological,Mindfulness/Meditation,"Human Attention Restoration, Flow, and Creativity: A Conceptual Integration",Clinical Practice Guideline,Attention Restoration Theory (ART),,"Human Attention Restoration, Flow, and Creativity A Conceptual Integration.pdf",100,exact_normalized
19.0,Cognitive & Psychological,Mindfulness/Meditation,Effortless training of attention and self-control: Mechanisms and applications,Clinical Practice Guideline,"Parasympathetic Dominance, ACC Control",,Effortless training of attention and self-control- Mechanisms and applications.pdf,100,exact_normalized
9.0,Cognitive & Psychological,Cognitive Behavioral Therapy,Behavioral activation for children and adolescents: a systematic review of progress and promise,Meta-Analysis,"Positive Reinforcement, Activity Scheduling",,Behavioral activation for children and adolescents a systematic review of progress and promise.pdf,100,exact_normalized
,Cognitive & Psychological,Biofeedback,Heart Rate Variability Biofeedback Improves Emotional and Physical Health and Performance: A Systematic Review and Meta Analysis,Meta-Analysis,,https://pubmed.ncbi.nlm.nih.gov/32385728/,Heart Rate Variability Biofeedback Improves Emotional and Physical Health and Performance- A Systematic Review and Meta Analysis.pdf,100,exact_normalized
,Cognitive & Psychological,Biofeedback,Efficacy of bio- and neurofeedback for depression: a meta-analysis,Meta-Analysis,,https://pubmed.ncbi.nlm.nih.gov/34776024/,Efficacy of bio- and neurofeedback for depression- a meta-analysis.pdf,100,exact_normalized
,Cognitive & Psychological,Cognitive Behavioral Therapy,The Efficacy of Cognitive Behavioral Therapy: A Review of Meta-analyses,Meta-Analysis,,https://pubmed.ncbi.nlm.nih.gov/34776024/,The Efficacy of Cognitive Behavioral Therapy- A Review of Meta-analyses.pdf,100,exact_normalized
,Cognitive & Psychological,Mindfulness/Meditation,Meditation Programs for Psychological Stress and Well-Being: A Systematic Review and Meta-analysis,Meta-Analysis,,https://pubmed.ncbi.nlm.nih.gov/24395196/,Meditation Programs for Psychological Stress and Well-Being- A Systematic Review and Meta-analysis.pdf,100,exact_normalized
,Cognitive & Psychological,Mindfulness/Meditation,Mindfulness Enhances Cognitive Functioning: A Meta-Analysis of 111 Randomized Controlled Trials,Meta-Analysis,,https://pubmed.ncbi.nlm.nih.gov/37578065/,Mindfulness Enhances Cognitive Functioning A Meta-Analysis of 111 Randomized Controlled Trials.pdf,100,exact_normalized
17.0,Cognitive & Psychological,Mindfulness/Meditation,The protective effect of daytime sleep on planning and risk-related decision-making in emerging adults,Protocol,"Napping, Decision Making, Cognitive Function",The protective effect...,The protective effect of daytime sleep on planning and risk-related decision-making in emerging adults.pdf,100,exact_normalized
20.0,Cognitive & Psychological,Mindfulness/Meditation,"Mindfulness-Based Relapse Prevention: History, Mechanisms of Action, and Effects",Protocol,,,"Mindfulness-Based Relapse Prevention- History, Mechanisms of Action, and Effects.pdf",100,exact_normalized
21.0,Cognitive & Psychological,Mindfulness/Meditation,Loving-kindness meditation increases social connectedness,Protocol,,,Loving-kindness meditation increases social connectedness.pdf,100,exact_normalized
1.0,Environmental & Social,Academic/Work Stress,"The Role of Academic Motivation in Self-Regulation, Goal Orientation, and Passion Among Medical Students with Self-Handicapping Behaviors",Clinical Practice Guideline,"Self-Handicapping, Self-Regulation",,"The Role of Academic Motivation in Self-Regulation, Goal Orientation, and Passion Among Medical Students with Self-Handicapping Behaviors.pdf",100,exact_normalized
2.0,Environmental & Social,Academic/Work Stress,Fostering flow experiences at work: a framework and research agenda for flow interventions,Clinical Practice Guideline,"Challenge-Skill Balance, Flow Optimization",,Fostering flow experiences at work a framework and research agenda for flow interventions.pdf,100,exact_normalized
,Environmental & Social,Loneliness,Public Health Guidelines for Social Connection: An International Delphi Study,Clinical Practice Guideline,,https://www.sciencedirect.com/science/article/abs/pii/S0168851025002076,Public Health Guidelines for Social Connection- An International Delphi Study.pdf,100,exact_normalized
,Environmental & Social,Kindness/Prosocial Behavior,Prosocial Behavior: Multilevel Perspectives,Clinical Practice Guideline,,https://pubmed.ncbi.nlm.nih.gov/15709940/,Prosocial Behavior- Multilevel Perspectives.pdf,100,exact_normalized
3.0,Environmental & Social,Academic/Work Stress,Strengths and challenges to embrace attention-deficit/hyperactivity disorder in employment - A systematic review,Meta-Analysis,"Neurodiversity, Employment, Accommodations",Strengths and challenges...,Strengths and challenges to embrace attention-deficit:hyperactivity disorder in employment - A systematic review.pdf,100,exact_normalized
16.0,Environmental & Social,Academic/Work Stress,Effectiveness of Mobile App-Based Psychological Interventions for College Students: A Systematic Review of the Literature,Meta-Analysis,"Oxytocin, Social Connection",Social_Buffering.pdf,Effectiveness of Mobile App-Based Psychological Interventions for College Students A Systematic Review of the Literature.pdf,100,exact_normalized
28.0,Environmental & Social,Kindness/Prosocial Behavior,Happy to help? A systematic review and meta-analysis of the effects of performing acts of kindness on the well-being of the actor,Meta-Analysis,,https://www.sciencedirect.com/science/article/pii/S0022103117303451,Happy to help? A systematic review and meta-analysis of the effects of performing acts of kindness on the well-being of the actor.pdf,100,exact_normalized
29.0,Environmental & Social,Kindness/Prosocial Behavior,"Prosocial Interventions and Health Outcomes
A Systematic Review and Meta-Analysis",Meta-Analysis,,https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2812720,Prosocial Interventions and Health Outcomes A Systematic Review and Meta-Analysis.pdf,100,exact_normalized
,Environmental & Social,Loneliness,The effectiveness of psychological interventions for loneliness: A systematic review and meta-analysis,Meta-Analysis,,https://pubmed.ncbi.nlm.nih.gov/34339939/,The effectiveness of psychological interventions for loneliness- A systematic review and meta-analysis.pdf,100,exact_normalized
,Environmental & Social,Loneliness,A meta-analysis of interventions to reduce loneliness,Meta-Analysis,,https://pubmed.ncbi.nlm.nih.gov/20716644/,A meta-analysis of interventions to reduce loneliness.pdf,100,exact_normalized
4.0,Environmental & Social,Academic/Work Stress,"The associations between resilience, self-care, and burnout among medical students",Protocol,"Resilience, Self-Care, Medical Students",Associations btwn resilience...,"The associations between resilience, self-care, and burnout among medical students.pdf",100,exact_normalized
5.0,Environmental & Social,Academic/Work Stress,Adult ADHD-Related Poor Quality of Life: Investigating the Role of Procrastination,Protocol,"Procrastination, Quality of Life, ADHD",Adult ADHD-Related Poor Quality of Life...,Adult ADHD-Related Poor Quality of Life- Investigating the Role of Procrastination.pdf,100,exact_normalized
6.0,Environmental & Social,Academic/Work Stress,Strategies for Coping with Time-Related and Productivity Challenges of Young People with Learning Disabilities and Attention-Deficit/Hyperactivity Disorder,Protocol,"Actionable Strategies: Time Management, Coping",Strategies for Coping...,Strategies for Coping with Time-Related and Productivity Challenges of Young People with Learning Disabilities and Attention-Deficit:Hyperactivity Disorder.pdf,100,exact_normalized
32.0,Environmental & Social,Kindness/Prosocial Behavior,Practicing Other-Focused Kindness and Self-Focused Kindness Among Those at Risk for Mental Illness: Results of a Randomized Controlled Trial,Protocol,,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2021.741546/full,Practicing Other-Focused Kindness and Self-Focused Kindness Among Those at Risk for Mental Illness- Results of a Randomized Controlled Trial.pdf,100,exact_normalized
34.0,Environmental & Social,Kindness/Prosocial Behavior,To whom should I be kind? A randomized trial about kindness for strong and weak social ties on mental wellbeing and its specific mechanisms of change,Protocol,,https://internationaljournalofwellbeing.org/index.php/ijow/article/view/1489,To whom should I be kind? A randomized trial about kindness for strong and weak social ties on mental wellbeing and its specific mechanisms of change.pdf,100,exact_normalized
,Environmental & Social,Loneliness,Internet-Based Cognitive Behavior Therapy for Loneliness: A Pilot Randomized Controlled Trial,Protocol,,https://pubmed.ncbi.nlm.nih.gov/32005340/,Internet-Based Cognitive Behavior Therapy for Loneliness- A Pilot Randomized Controlled Trial.pdf,100,exact_normalized
,Environmental & Social,Loneliness,Groups 4 Health: Evidence that a social-identity intervention that builds and strengthens social group membership improves mental health,Protocol,,https://pubmed.ncbi.nlm.nih.gov/26828756/,Groups 4 Health- Evidence that a social-identity intervention that builds and strengthens social group membership improves mental health.pdf,100,exact_normalized
22.0,Meta-Strategy,Motivation,Intrinsic and extrinsic motivation from a self-determination theory perspective,Clinical Practice Guideline,Self-Determination Theory (SDT),,Intrinsic and extrinsic motivation from a self-determination theory perspective.pdf,100,exact_normalized
,Meta-Strategy,Gamification,Persuasive Systems Design,Clinical Practice Guideline,,https://www.taylorfrancis.com/chapters/edit/10.4324/9781351252928-6/persuasive-systems-design-harri-oinas-kukkonen-marja-harjumaa,"Persuasive Systems Design- Key Issues, Process Model, and System Features.pdf",100,fuzzy_token_set
12.0,Meta-Strategy,Gamification,Time to Form a Habit: A Systematic Review and Meta-Analysis of Health Behaviour Habit Formation and Its Determinants,Meta-Analysis,"High Evidence: Habit Formation, Automaticity",Time to Form a Habit...,Time to Form a Habit A Systematic Review and Meta-Analysis of Health Behaviour Habit Formation and Its Determinants.pdf,100,exact_normalized
,Meta-Strategy,Motivation,Implementation Intentions and Goal Achievement: A Meta‐analysis of Effects and Processes,Meta-Analysis,,https://www.sciencedirect.com/science/chapter/bookseries/abs/pii/S0065260106380021,Implementation Intentions and Goal Achievement A Meta‐analysis of Effects and Processes.pdf,100,exact_normalized
,Meta-Strategy,Motivation,"A meta-analysis of self-determination theory-informed intervention studies in the health domain: effects on motivation, health behavior, physical, and psychological health",Meta-Analysis,,https://pubmed.ncbi.nlm.nih.gov/31983293/,"A meta-analysis of self-determination theory-informed intervention studies in the health domain- effects on motivation, health behavior, physical, and psychological health.pdf",100,exact_normalized
,Meta-Strategy,Gamification,Gamification for health and wellbeing: A systematic review of the literature,Meta-Analysis,,https://www.sciencedirect.com/science/article/pii/S2214782916300380,Gamification for health and wellbeing- A systematic review of the literature.pdf,100,exact_normalized
13.0,Meta-Strategy,Gamification,Implementation Intentions,Protocol,"If-Then Planning, Cue-Response",,From Fantasy to Action- Mental Contrasting with Implementation Intentions (MCII) Improves Academic Performance in Children.pdf,100,fuzzy_token_set
,Meta-Strategy,Gamification,Gamification as an approach to improve resilience and reduce attrition in mobile mental health interventions: A randomized controlled trial,Protocol,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0237220,Gamification as an approach to improve resilience and reduce attrition in mobile mental health interventions- A randomized controlled trial.pdf,100,exact_normalized
