case_id,option,participant_id,date,calendar_summary,layer_1_3_patterns_for_context,layer_4_patterns_for_context,recommendation,reason,grounded_in,safety_note,relevance_1_5,behavioral_alignment_1_5,feasibility_1_5,safety_1_5,specificity_1_5,overall_preferred_A_or_B
S001,A,P001,2026-03-10,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),phone-mediated-sleep-delay,phone-mediated-sleep-delay,"End the 'optional work session' by 21:45 at the latest, and add a short Wind-down block from 21:45–22:15 (no work screens)","The optional work session currently runs until 22:30, which overlaps with the window where late-night screen use has been elevated. Capping active screen work ~45 min earlier and inserting a brief screen-free wind-down creates a buffer before the target sleep window, directly addressing the mechanism behind the phone-mediated-sleep-delay pattern.","phone-mediated-sleep-delay, late_night_screen_min, sleep_onset_hour","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S001,B,P001,2026-03-10,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),phone-mediated-sleep-delay,,Preserve study block but leave its exact start time adjustable.,"Without behavioral context, the safest recommendation is to maintain flexibility around a non-fixed event.",,No fixed obligations were changed.,,,,,,
S002,A,P001,2026-03-11,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),"phone-mediated-sleep-delay, circadian-instability","phone-mediated-sleep-delay, circadian-instability, fragmented-attention-with-sleep-loss","Convert tonight's 'optional work session' (21:00–22:30) to end by 21:45, and add a 'Wind-down — screens off' block from 21:45 to 22:30","Late-night screen use has been running 78 min on 2 of the last 3 nights, directly overlapping this optional session window. Capping active screen work at 21:45 and protecting the remaining time as a wind-down buffer targets the most proximate driver of the delayed sleep onset, without cancelling the work session entirely.","phone-mediated-sleep-delay, late_night_screen_min, sleep_onset_hour","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S002,B,P001,2026-03-11,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),"phone-mediated-sleep-delay, circadian-instability",,Keep study block flexible and add a 15-minute buffer before it.,The calendar has several obligations; a small buffer is a low-burden adjustment.,,No behavioral or clinical inference was made.,,,,,,
S003,A,P001,2026-03-12,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),"phone-mediated-sleep-delay, circadian-instability, fragmented-attention-with-sleep-loss",,Add a short transition buffer after study block if the day feels crowded.,"The calendar includes multiple commitments, so a small transition buffer may reduce schedule friction.",,This suggestion is based only on calendar structure.,,,,,,
S003,B,P001,2026-03-12,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),"phone-mediated-sleep-delay, circadian-instability, fragmented-attention-with-sleep-loss","phone-mediated-sleep-delay, circadian-instability, fragmented-attention-with-sleep-loss","Add a 'Wind-down — screens off' block at 22:30, replacing or capping the tail of the optional work session","Late-night screen use is 260% above baseline and has been the sustained driver of the ~1.8h sleep-onset delay. Ending the optional work session at 22:30 and marking it as a hard screen-off point creates a buffer before a target sleep onset closer to baseline (~23:15–23:30). The work session is already marked flexible, so this is a low-disruption change.","phone-mediated-sleep-delay, late_night_screen_min, sleep_onset_hour","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S004,A,P002,2026-03-10,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 20:00 deadline work block (flexible),behavioral-withdrawal,behavioral-withdrawal,"Relocate the afternoon study block (15:00–17:00) to a different venue — a library, café, or campus common area — rather than the usual spot","The 3-day drift toward fewer distinct locations suggests routine has narrowed. Shifting a flexible, already-scheduled block to a different physical space adds location variety with zero extra time cost, directly countering the withdrawal pattern without adding burden.","behavioral-withdrawal, mobility_entropy","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S004,B,P002,2026-03-10,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 20:00 deadline work block (flexible),behavioral-withdrawal,,Add a short transition buffer after study block if the day feels crowded.,"The calendar includes multiple commitments, so a small transition buffer may reduce schedule friction.",,This suggestion is based only on calendar structure.,,,,,,
S005,A,P002,2026-03-11,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 20:00 deadline work block (flexible),behavioral-withdrawal,,Preserve study block but leave its exact start time adjustable.,"Without behavioral context, the safest recommendation is to maintain flexibility around a non-fixed event.",,No fixed obligations were changed.,,,,,,
S005,B,P002,2026-03-11,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 20:00 deadline work block (flexible),behavioral-withdrawal,"behavioral-withdrawal, screen-time-creep-with-routine-loss",Add a recurring 'Get outside / change of scene' block at 12:30 (30 min) on days with no fixed midday commitments,"Mobility entropy is down sharply and location time is concentrated at familiar places. A brief, low-commitment midday prompt to leave the primary location on unstructured days directly targets the location-contraction component of the withdrawal cluster without requiring a large schedule change.","behavioral-withdrawal, mobility_entropy, location_revisit_ratio","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S006,A,P002,2026-03-12,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 20:00 deadline work block (flexible),behavioral-withdrawal,behavioral-withdrawal,Add a short 'step outside' break block (15 min walk or errand outside home/campus) in the mid-afternoon gap before the study block,"Location entropy has been pronounced-low for 3 days and nearly all time is at familiar places. A brief, low-effort out-of-home slot introduces variety without disrupting fixed commitments and works against the narrowing location pattern.","behavioral-withdrawal, mobility_entropy, location_revisit_ratio","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S006,B,P002,2026-03-12,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 20:00 deadline work block (flexible),behavioral-withdrawal,,Keep study block flexible and add a 15-minute buffer before it.,The calendar has several obligations; a small buffer is a low-burden adjustment.,,No behavioral or clinical inference was made.,,,,,,
S007,A,P003,2026-03-10,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),circadian-instability,,Keep study block flexible and add a 15-minute buffer before it.,The calendar has several obligations; a small buffer is a low-burden adjustment.,,No behavioral or clinical inference was made.,,,,,,
S007,B,P003,2026-03-10,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),circadian-instability,circadian-instability,"Cap or remove the optional work session tonight — if kept, add a hard-stop reminder at 22:00 so wind-down can begin by 22:15","The optional work session (21:00–22:30) is the most likely candidate for extending wakefulness and delaying sleep onset tonight. Given that routine timing was less regular yesterday, anchoring an earlier end to the evening helps re-sync the daily schedule without requiring any morning changes.","circadian-instability, social_rhythm_metric","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S008,A,P003,2026-03-11,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),circadian-instability,circadian-instability,"End or convert the 'optional work session' to a hard stop at 21:45, and add a 30-minute Wind-down block from 22:00–22:30 (no screens / low-stimulation activity)","Sleep onset has drifted ~1 hour later and sleep regularity is down. The optional work session currently runs until 22:30, leaving very little buffer before the baseline sleep window. Capping work earlier and protecting a wind-down buffer creates a consistent pre-sleep anchor, which directly addresses the circadian-instability pattern.","circadian-instability, sleep_onset_hour, sleep_regularity_index","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S008,B,P003,2026-03-11,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),circadian-instability,,Add a short transition buffer after study block if the day feels crowded.,"The calendar includes multiple commitments, so a small transition buffer may reduce schedule friction.",,This suggestion is based only on calendar structure.,,,,,,
S009,A,P003,2026-03-12,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),circadian-instability,,Preserve study block but leave its exact start time adjustable.,"Without behavioral context, the safest recommendation is to maintain flexibility around a non-fixed event.",,No fixed obligations were changed.,,,,,,
S009,B,P003,2026-03-12,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),circadian-instability,circadian-instability,"Convert tonight's 'optional work session' (21:00–22:30) to end at 21:30, and add a Wind-down block from 21:30–22:15","Sleep onset has been running ~1 hour late. Capping the optional work session earlier and inserting a wind-down buffer creates a consistent pre-sleep anchor that can help pull onset back toward the baseline 23:24 target, supporting recovery of the sleep regularity index.","sleep_onset_hour, sleep_regularity_index, circadian-instability","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S010,A,P004,2026-03-10,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 13:00 lab prep (flexible); 19:30 problem set work (flexible),fragmented-attention-with-sleep-loss,fragmented-attention-with-sleep-loss,"Add a 20-minute Wind-down buffer block at 21:30 (immediately after problem-set work ends) — no screens, light activity only","The problem-set block ends at 21:30. Adding a short screen-free buffer before bed reduces the risk of late-night screen use pushing sleep onset later, which would extend the current mild sleep shortfall into a second night and likely sustain the elevated app-switching pattern tomorrow.","fragmented-attention-with-sleep-loss, sleep_duration_hours","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S010,B,P004,2026-03-10,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 13:00 lab prep (flexible); 19:30 problem set work (flexible),fragmented-attention-with-sleep-loss,,Preserve study block but leave its exact start time adjustable.,"Without behavioral context, the safest recommendation is to maintain flexibility around a non-fixed event.",,No fixed obligations were changed.,,,,,,
S011,A,P004,2026-03-11,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 13:00 lab prep (flexible); 19:30 problem set work (flexible),fragmented-attention-with-sleep-loss,phone-mediated-sleep-delay-with-fragmented-attention,"Add a 'Wind-down / screens off' block at 22:00–22:30 each evening, immediately after the problem set work block ends",Late-night screen use has drifted to ~54 min/night (up from a typical ~28 min). Placing a named wind-down block right after the 21:30 work cutoff creates a visible boundary that discourages screen continuation and protects the sleep window. Even a 30-minute earlier screens-off point can meaningfully shift sleep onset.,"late_night_screen_min, phone-mediated-sleep-delay-with-fragmented-attention","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S011,B,P004,2026-03-11,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 13:00 lab prep (flexible); 19:30 problem set work (flexible),fragmented-attention-with-sleep-loss,,Keep study block flexible and add a 15-minute buffer before it.,The calendar has several obligations; a small buffer is a low-burden adjustment.,,No behavioral or clinical inference was made.,,,,,,
S012,A,P004,2026-03-12,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 13:00 lab prep (flexible); 19:30 problem set work (flexible),fragmented-attention-with-sleep-loss,phone-mediated-sleep-delay-with-fragmented-attention,"Add a 'Screen wind-down' block at 22:00–22:30 — phone away, no new apps opened. This sits right after the problem-set block ends (21:30) and creates a buffer before sleep.",Late-night screen use is running 39 minutes above baseline and is the most likely mechanism compressing sleep. A 30-minute screen-free buffer before bed is a low-burden way to move sleep onset earlier without touching any fixed events.,"late_night_screen_min, sleep_duration_hours, phone-mediated-sleep-delay-with-fragmented-attention","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S012,B,P004,2026-03-12,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 13:00 lab prep (flexible); 19:30 problem set work (flexible),fragmented-attention-with-sleep-loss,,Add a short transition buffer after study block if the day feels crowded.,"The calendar includes multiple commitments, so a small transition buffer may reduce schedule friction.",,This suggestion is based only on calendar structure.,,,,,,
S013,A,P005,2026-03-10,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),phone-mediated-sleep-delay,,Add a short transition buffer after study block if the day feels crowded.,"The calendar includes multiple commitments, so a small transition buffer may reduce schedule friction.",,This suggestion is based only on calendar structure.,,,,,,
S013,B,P005,2026-03-10,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),phone-mediated-sleep-delay,phone-mediated-sleep-delay,End or convert the 'optional work session' block to a screen-free wind-down by 22:00 — shift its end time from 22:30 to 22:00 and add a 'Wind-down / no screens' block from 22:00 to 22:30,"The optional work session currently runs to 22:30, which overlaps with the window where late-night screen use has been elevated. Capping active screen work at 22:00 and protecting the following 30 minutes as a low-stimulation buffer creates a structural nudge toward an earlier sleep onset, directly addressing the phone-mediated-sleep-delay pattern.","phone-mediated-sleep-delay, late_night_screen_min, sleep_onset_hour","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S014,A,P005,2026-03-11,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),"phone-mediated-sleep-delay, behavioral-withdrawal",,Preserve study block but leave its exact start time adjustable.,"Without behavioral context, the safest recommendation is to maintain flexibility around a non-fixed event.",,No fixed obligations were changed.,,,,,,
S014,B,P005,2026-03-11,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),"phone-mediated-sleep-delay, behavioral-withdrawal","phone-mediated-sleep-delay, behavioral-withdrawal","End or convert the 'optional work session' to a wind-down block by 22:00, freeing 22:00–22:30 as screen-free time before bed","Late-night screen use has more than doubled versus baseline and is on a drift trajectory. The optional work session currently runs until 22:30, which overlaps with the window where screen use is elevating sleep onset. Capping active work/screen engagement at 22:00 creates a buffer before a target sleep onset closer to baseline (~23:10).","phone-mediated-sleep-delay, late_night_screen_min, sleep_onset_hour","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S015,A,P005,2026-03-12,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),"phone-mediated-sleep-delay, behavioral-withdrawal",,Keep study block flexible and add a 15-minute buffer before it.,The calendar has several obligations; a small buffer is a low-burden adjustment.,,No behavioral or clinical inference was made.,,,,,,
S015,B,P005,2026-03-12,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),"phone-mediated-sleep-delay, behavioral-withdrawal","phone-mediated-sleep-delay, behavioral-withdrawal","Replace or end the 'optional work session' by 22:00 and add a Wind-down block from 22:00–22:45 (no screens, low-stimulation activity)","Late-night screen use is running 165% above baseline and sleep onset has shifted 1.5h later over 3 consecutive days. The optional work session (21:00–22:30) sits squarely in the high-risk window. Capping work at 22:00 and inserting a screen-free wind-down creates a structural break before the typical drift point, directly targeting the phone-mediated sleep delay pattern.","phone-mediated-sleep-delay, sleep_onset_hour, late_night_screen_min","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S016,A,P006,2026-03-10,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),phone-mediated-sleep-delay,,Keep study block flexible and add a 15-minute buffer before it.,The calendar has several obligations; a small buffer is a low-burden adjustment.,,No behavioral or clinical inference was made.,,,,,,
S016,B,P006,2026-03-10,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),phone-mediated-sleep-delay,phone-mediated-sleep-delay,"End or convert tonight's 'optional work session' (21:00–22:30) to a screen-free or low-screen wind-down block — e.g., rename to 'Wind-down / no screens after 22:00' and treat the 22:00–22:30 slot as protected offline time.","The optional work session ends at 22:30, right in the window where late-night screen use has been elevated for 3 days. Capping active screen use by 22:00 creates a 30-minute buffer before a target sleep onset closer to the personal baseline (~23:20), which could help reverse the recent drift without requiring any earlier commitment.","phone-mediated-sleep-delay, late_night_screen_min, sleep_onset_hour","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S017,A,P006,2026-03-11,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),"phone-mediated-sleep-delay, circadian-instability, fragmented-attention-with-sleep-loss",,Add a short transition buffer after study block if the day feels crowded.,"The calendar includes multiple commitments, so a small transition buffer may reduce schedule friction.",,This suggestion is based only on calendar structure.,,,,,,
S017,B,P006,2026-03-11,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),"phone-mediated-sleep-delay, circadian-instability, fragmented-attention-with-sleep-loss","phone-mediated-sleep-delay, circadian-instability, fragmented-attention-with-sleep-loss","Replace or end the 'optional work session' (21:00–22:30) by 21:30 and add a Wind-down block from 21:30–22:30 — no screens, low-stimulation activity (reading, stretching, etc.)",The optional work session occupies the exact window where late-night screen use has spiked. Capping work at 21:30 and filling the remainder with a screen-free wind-down directly targets the phone-mediated-sleep-delay pattern and creates a consistent pre-sleep buffer that supports circadian re-anchoring.,"phone-mediated-sleep-delay, late_night_screen_min, sleep_onset_hour","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S018,A,P006,2026-03-12,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),"phone-mediated-sleep-delay, circadian-instability, fragmented-attention-with-sleep-loss","phone-mediated-sleep-delay, circadian-instability, fragmented-attention-with-sleep-loss","Replace or cap the 'optional work session' (21:00–22:30) by adding a hard Wind-down block at 22:00 — screen-off, low-stimulation activity only — to create a buffer before a target sleep time of 23:30.","The optional work session currently ends at 22:30, which is right at the edge of the late-night screen window. Capping active screen work at 22:00 and protecting 22:00–23:30 as wind-down time directly addresses the phone-mediated-sleep-delay pattern. A 23:30 target would recover roughly 1.5h of the lost sleep onset shift over a few nights.","phone-mediated-sleep-delay, late_night_screen_min, sleep_onset_hour","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S018,B,P006,2026-03-12,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 21:00 optional work session (flexible),"phone-mediated-sleep-delay, circadian-instability, fragmented-attention-with-sleep-loss",,Preserve study block but leave its exact start time adjustable.,"Without behavioral context, the safest recommendation is to maintain flexibility around a non-fixed event.",,No fixed obligations were changed.,,,,,,
S019,A,P007,2026-03-10,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 20:00 deadline work block (flexible),behavioral-withdrawal,,Preserve study block but leave its exact start time adjustable.,"Without behavioral context, the safest recommendation is to maintain flexibility around a non-fixed event.",,No fixed obligations were changed.,,,,,,
S019,B,P007,2026-03-10,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 20:00 deadline work block (flexible),behavioral-withdrawal,behavioral-withdrawal,"Add a short 'Change of scenery' break — step outside or work from a different spot (café, library, outdoor bench) for 20–30 minutes","Mobility entropy has been drifting down for 3 days and time at familiar places is up. A brief, low-effort location change introduces environmental variety without disrupting the day's fixed commitments.","behavioral-withdrawal, mobility_entropy, location_revisit_ratio","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
S020,A,P007,2026-03-11,08:30 class (fixed); 10:30 project meeting (fixed); 15:00 study block (flexible); 20:00 deadline work block (flexible),behavioral-withdrawal,"behavioral-withdrawal, screen-compensated-withdrawal",Add a short 'out-of-desk break' block (15–20 min walk or errand outside) in the gap between the project meeting and study block,"Mobility entropy has been drifting down for 3 days. A brief, low-effort out-of-home slot in an already-open gap (11:15–15:00) introduces variety into location routine without disrupting any fixed commitments. Even a short excursion contributes to entropy recovery.","behavioral-withdrawal, mobility_entropy, location_revisit_ratio","Generated by full Layer 4 from behavioral state, calendar context, preferences, and the safety prompt.",,,,,,
